# The Computer Science Ontology as a term taxonomy: the topics computer science research is
# indexed by, each with the label CSO states for it and the equivalent labels it states beside
# it. CSO states NO definition for any topic, so this is matched against declared names like
# OLiA and FIBO and cannot be read as a functional taxonomy — there is no prose to compare a
# scope against.
#
# Columns: concept, prefLabel, altLabel, broader, kind, module, definition, note.
# definition is empty for every row because CSO publishes none.
#
# CSO is a POLY-HIERARCHY: 4747 of its 11426 topics with a parent are stated beneath more
# than one, up to 13. Every parent is carried, joined with the separator SkosConcept states
# for a repeated property, and SkosConcept.broaderConcepts reads them back. Nothing is dropped.
#
# Name: Computer Science Ontology 3.5
# Publisher: the Knowledge Media Institute, The Open University (https://cso.kmi.open.ac.uk/)
# Kind: terms
# Source: CSO 3.5, https://cso.kmi.open.ac.uk/download (CSO.3.5.csv) (the download states
#   no revision, so the archive is the citation, pinned by the SHA-256 ContentDigest states
#   over CSO.3.5.csv: 1fa427ecb26a92d6077a54b5da41833e3eea6a194567091e336e8425f4cc11d4).
# Licence: Creative Commons Attribution 4.0 International (CC BY 4.0) — "you can freely copy,
#   share, adapt, and build upon the data for any purpose, including commercial use, as long as
#   you give appropriate credit to the original creators". Credit: the Computer Science
#   Ontology, Knowledge Media Institute, The Open University, and NOTICE.md carries it.
#   The downloaded archive itself states no licence and carries no licence file; these terms
#   were supplied by the maintainer of this repository rather than read from the archive.
# Generated by CsoTopicsExtraction: 11438 topics.
acoustic_surface_wave_devices	acoustic surface wave devices		acoustic waves	topic			
acoustic_surface_wave_filters	acoustic surface wave filters		acoustic surface wave devices	topic			
acoustic_transducers	acoustic transducers		acoustic surface wave devices	topic			
acoustic_variables_control	acoustic variables control		acoustic noise | adaptive filtering	topic			
acoustic_wave_propagation	acoustic wave propagation		acoustic emissions | acoustic waves	topic			
acoustic_wave_scattering	acoustic wave scattering		acoustic wave propagation	topic			
acoustic_wave_transmission	acoustic wave transmission		acoustic wave propagation | underwater acoustics	topic			
acoustic_wave_velocity_measurement	acoustic wave velocity measurement		acoustic noise measurement	topic			
acoustic_waves	acoustic waves		acoustics	topic			
acoustics	acoustics	acoustic | acoustics	signal processing	topic			
acoustoelectric_effects	acoustoelectric effects		surface acoustic waves	topic			
acquisition_device	acquisition device		biometrics | image acquisition	topic			
acquisition_process	acquisition process		mergers and acquisitions	topic			
acquisition_systems	acquisition systems		mergers and acquisitions	topic			
acquisition_time	acquisition time		mergers and acquisitions	topic			
act-r	act-r		cognitive architectures | cognitive model	topic			
actinomadura	actinomadura		actinomycetales	topic			
actinomycetales	actinomycetales		rna 16s	topic			
actinomycetales_infections	actinomycetales infections	actinomycetales infection | actinomycetales infections	actinomycetales	topic			
actinomycetes_and_related_organisms	actinomycetes and related organisms		actinomycetales	topic			
action_language	action language		answer set programming	topic			
action_recognition	action recognition		gesture recognition | motion estimation	topic			
action_selection	action selection		reinforcement learning	topic			
action_sequences	action sequences		human actions	topic			
action_spaces	action spaces		reinforcement learning	topic			
action_unit	action unit		computer keyboards | facial action	topic			
active_appearance_models	active appearance models	active appearance model | active appearance models	face recognition	topic			
active_contour_method	active contour method		active contours	topic			
active_contours	active contours	active contour | active contour model | active contours	image segmentation	topic			
active_control	active control		control system analysis	topic			
active_disturbance_rejection_controls	active disturbance rejection controls		degrees of freedom (mechanics) | reception quality	topic			
active_learning	active learning		machine learning	topic			
active_mode	active mode		sleep mode	topic			
active_noise_control	active noise control		acoustic variables control | adaptive filters	topic			
active_optics	active optics		primary mirrors	topic			
active_pixel_sensor	active pixel sensor		cmos image sensor | sensors	topic			
active_queue_management	active queue management	active queue management | active queue management (aqm)	queuing network | routers | transmission control protocol	topic			
active_regions	active regions		semiconductor quantum wells | surface emitting lasers	topic			
active_rfid	active rfid		rfid technology	topic			
active_suspension	active suspension	active suspension | active suspension systems	vehicle suspensions	topic			
activity_diagram	activity diagram	activity diagram | activity diagrams	graphic methods | unified modeling language	topic			
activity_models	activity models		activity recognition	topic			
activity_recognition	activity recognition		pattern recognition | sensors | ubiquitous computing	topic			
actor-critic_algorithms	actor-critic algorithms		reinforcement learning	topic			
actor_critic	actor critic		reinforcement learning	topic			
actor_network_theory	actor network theory	actor network theory | actor-network theory	information systems	topic			
actuation_redundancy	actuation redundancy		parallel manipulators	topic			
actuation_voltages	actuation voltages		electrostatic actuators | rf-mems switches	topic			
actuator_failures	actuator failures		fault tolerant control | linear control systems | robust control | sufficient conditions	topic			
actuator_fault	actuator fault	actuator fault | actuator faults	fault detection	topic			
ad_hoc_networks	ad hoc networks	ad hoc network | ad hoc networks | ad-hoc networks	internet protocols | mobile telecommunication systems | multicasts | quality of service | routers | routing algorithms | sensors | wireless local area networks (wlan)	topic			
ad_hoc_on_demand_distance_vector	ad hoc on demand distance vector		aodv | mobile ad hoc networks	topic			
ad_hoc_wireless_networks	ad hoc wireless networks		ad hoc networks | routing protocols | wireless ad hoc networks | wireless networks	topic			
ada_programming_language	ada programming language		high level languages	topic			
adaboost_algorithm	adaboost algorithm		adaptive boosting	topic			
adaboost_learning	adaboost learning		adaptive boosting	topic			
adams	adams		virtual prototype	topic			
adams_software	adams software		virtual prototype	topic			
adaptive_algorithms	adaptive algorithms	adaptive algorithm | adaptive algorithms	software	topic			
adaptive_architecture	adaptive architecture		software architecture	topic			
adaptive_arrays	adaptive arrays	adaptive array | adaptive arrays	adaptive algorithms | antenna arrays | beamforming | interference suppression	topic			
adaptive_backstepping	adaptive backstepping	adaptive backstepping | adaptive backstepping control	backstepping	topic			
adaptive_beamforming	adaptive beamforming		adaptive algorithms | antenna arrays | beamforming	topic			
adaptive_beamforming_algorithms	adaptive beamforming algorithms		adaptive beamforming	topic			
adaptive_boosting	adaptive boosting	adaboost | adaptive boosting	classifiers	topic			
adaptive_control_schemes	adaptive control schemes		adaptive control systems	topic			
adaptive_control_systems	adaptive control systems	adaptive control | adaptive control systems	process control	topic			
adaptive_controllers	adaptive controllers	adaptive controller | adaptive controllers	adaptive control systems	topic			
adaptive_critic_designs	adaptive critic designs		adaptive control systems | approximate dynamic programming | cellular radio systems | heuristic programming	topic			
adaptive_cruise_control	adaptive cruise control		adaptive control systems | computer control | intelligent systems | vehicles	topic			
adaptive_detection	adaptive detection		covariance matrix | generalized likelihood ratio test	topic			
adaptive_detectors	adaptive detectors		adaptive detection	topic			
adaptive_dynamic_programming	adaptive dynamic programming		adaptive control systems | approximate dynamic programming | optimal control systems	topic			
adaptive_e-learning_systems	adaptive e-learning systems		e-learning systems	topic			
adaptive_filtering	adaptive filtering		signal processing	topic			
adaptive_filtering_algorithms	adaptive filtering algorithms		adaptive filters	topic			
adaptive_filters	adaptive filters	adaptive filter | adaptive filters	adaptive algorithms | adaptive filtering	topic			
adaptive_fuzzy	adaptive fuzzy	adaptive fuzzy | adaptive fuzzy control | adaptive fuzzy controller	adaptive control systems	topic			
adaptive_genetic_algorithms	adaptive genetic algorithms	adaptive genetic algorithm | adaptive genetic algorithms	adaptive algorithms | genetic algorithms	topic			
adaptive_histogram_equalization	adaptive histogram equalization		histogram equalizations | image segmentation	topic			
adaptive_hypermedia	adaptive hypermedia		adaptive systems | e-learning | hypermedia systems	topic			
adaptive_hypermedia_systems	adaptive hypermedia systems		adaptive hypermedia	topic			
adaptive_kalman_filter	adaptive kalman filter		kalman filters	topic			
adaptive_kalman_filtering	adaptive kalman filtering		kalman filters	topic			
adaptive_laws	adaptive laws		adaptive fuzzy	topic			
adaptive_learning	adaptive learning		machine learning	topic			
adaptive_learning_rates	adaptive learning rates		backpropagation algorithm	topic			
adaptive_median_filter	adaptive median filter		electric filters | impulse noise | median filter	topic			
adaptive_modulation	adaptive modulation	adaptive modulation | adaptive modulation (candidate)	channel capacity | power control | quadrature amplitude modulation	topic			
adaptive_modulation_and_coding	adaptive modulation and coding	adaptive modulation and coding | adaptive modulation and coding (amc)	adaptive modulation	topic			
adaptive_neural_control	adaptive neural control		backstepping	topic			
adaptive_neuro-fuzzy_inference_system	adaptive neuro-fuzzy inference system	adaptive neuro-fuzzy inference system | adaptive neuro-fuzzy inference system (anfis)	neural networks	topic			
adaptive_notch_filters	adaptive notch filters		adaptive filters | frequency estimation | notch filters	topic			
adaptive_observer	adaptive observer		fault detection | observability	topic			
adaptive_optics_systems	adaptive optics systems		satellite navigation aids	topic			
