# The IANA media type registry: every registered type, carried byte for byte as the registry
# states it. A string literal equal to a row's identifier is the publisher's own identifier
# written into a repository, which is a citation no English word can make; nothing here is an
# English label, so this is never matched against a declared name and never placed as prose.
#
# Columns: concept, prefLabel, altLabel, broader, kind, module, definition, note.
# concept and prefLabel are the registered template, byte for byte. broader and module name the
# registry the type is filed under. definition is empty for every row because the registry
# publishes none. note carries the registry's reference, and its own deprecation statement where
# it makes one — a deprecated identifier is still the registry's identifier, so the row stays.
#
# Source: IANA media types, https://www.iana.org/assignments/media-types/ (application.csv, audio.csv, font.csv, haptics.csv, image.csv, message.csv, model.csv, multipart.csv, text.csv, video.csv), retrieved 2026-08-19
#   (the registry states no revision, so the file set is the citation, pinned by the SHA-256
#   ContentDigest states over the ten CSVs: fd3eea02e8610628e4a3b6eb0b66a415fdbf973ce1e73e667be24b12cd505aeb).
# Licence: CC0 1.0 (https://www.iana.org/help/licensing-terms — "IANA and IETF intend that
#   the Protocol Registries may be freely used by any party for any purpose", with both
#   organisations' rights "subject to the Creative Commons CC0 1.0 dedication").
# Generated by MediaTypeExtraction: 2344 media types.
application/geopackage+sqlite3	application/geopackage+sqlite3		application	media-type	application		[OGC][Scott_Simmons]
application/geopose+json	application/geopose+json		application	media-type	application		[OGC][Scott_Simmons]
application/geoxacml+json	application/geoxacml+json		application	media-type	application		[OGC][Scott_Simmons]
application/geoxacml+xml	application/geoxacml+xml		application	media-type	application		[OGC][Scott_Simmons]
application/gltf-buffer	application/gltf-buffer		application	media-type	application		[Khronos][Saurabh_Bhatia]
application/gml+xml	application/gml+xml		application	media-type	application		[OGC][Clemens_Portele]
application/gnap-binding-jws	application/gnap-binding-jws		application	media-type	application		[RFC9635]
application/gnap-binding-jwsd	application/gnap-binding-jwsd		application	media-type	application		[RFC9635]
application/gnap-binding-rotation-jws	application/gnap-binding-rotation-jws		application	media-type	application		[RFC9635]
application/gnap-binding-rotation-jwsd	application/gnap-binding-rotation-jwsd		application	media-type	application		[RFC9635]
application/grib	application/grib		application	media-type	application		[World_Meterological_Organization][Anna_Milan]
application/gzip	application/gzip		application	media-type	application		[RFC6713]
application/held+xml	application/held+xml		application	media-type	application		[RFC5985]
application/hl7v2+xml	application/hl7v2+xml		application	media-type	application		[HL7][Marc_Duteau]
application/http	application/http		application	media-type	application		[RFC9112]
application/hyperstudio	application/hyperstudio		application	media-type	application		[Michael_Domino]
application/ibe-key-request+xml	application/ibe-key-request+xml		application	media-type	application		[RFC5408]
application/ibe-pkg-reply+xml	application/ibe-pkg-reply+xml		application	media-type	application		[RFC5408]
application/ibe-pp-data	application/ibe-pp-data		application	media-type	application		[RFC5408]
application/iges	application/iges		application	media-type	application		[Curtis_Parks]
application/im-iscomposing+xml	application/im-iscomposing+xml		application	media-type	application		[RFC3994]
application/index	application/index		application	media-type	application		[RFC2652]
application/index.cmd	application/index.cmd		application	media-type	application		[RFC2652]
application/index.obj	application/index.obj		application	media-type	application		[RFC2652]
application/index.response	application/index.response		application	media-type	application		[RFC2652]
application/index.vnd	application/index.vnd		application	media-type	application		[RFC2652]
application/inkml+xml	application/inkml+xml		application	media-type	application		[Kazuyuki_Ashimura]
application/ipfix	application/ipfix		application	media-type	application		[RFC5655]
application/ipp	application/ipp		application	media-type	application		[RFC8010]
application/its+xml	application/its+xml		application	media-type	application		[W3C][ITS-IG-W3C]
application/java-archive	application/java-archive		application	media-type	application		[JCP][Iris_Clark]
application/javascript	application/javascript		application	media-type	application		javascript (OBSOLETED in favor of text/javascript) | [RFC4329][RFC9239]
application/jf2feed+json	application/jf2feed+json		application	media-type	application		[W3C][Ivan_Herman]
application/jose	application/jose		application	media-type	application		[RFC7515]
application/jose+json	application/jose+json		application	media-type	application		[RFC7515]
application/jrd+json	application/jrd+json		application	media-type	application		[RFC7033]
application/jscalendar+json	application/jscalendar+json		application	media-type	application		[RFC8984]
application/jscontact+json	application/jscontact+json		application	media-type	application		[RFC9553]
application/json	application/json		application	media-type	application		[RFC8259]
application/json-patch+json	application/json-patch+json		application	media-type	application		[RFC6902]
application/json-patch-query+json	application/json-patch-query+json		application	media-type	application		[TM_Forum][Lorna_Mitchell]
application/json-seq	application/json-seq		application	media-type	application		[RFC7464]
application/jsonpath	application/jsonpath		application	media-type	application		[RFC9535]
application/jumbf	application/jumbf		application	media-type	application		[ISO-IEC_JTC_1_SC_29_WG_1][Leonard_Rosenthol][Frederik_Temmermans]
application/jwk+json	application/jwk+json		application	media-type	application		[RFC7517]
application/jwk-set+json	application/jwk-set+json		application	media-type	application		[RFC7517]
application/jwk-set+jwt	application/jwk-set+jwt		application	media-type	application		[OpenID_Foundation_Artifact_Binding_WG]
application/jwt	application/jwt		application	media-type	application		[RFC7519]
application/kb+jwt	application/kb+jwt		application	media-type	application		[RFC9901]
application/kbl+xml	application/kbl+xml		application	media-type	application		[prostep_ivip][Nora_Tazir]
application/kpml-request+xml	application/kpml-request+xml		application	media-type	application		[RFC4730]
application/kpml-response+xml	application/kpml-response+xml		application	media-type	application		[RFC4730]
application/ld+json	application/ld+json		application	media-type	application		[W3C][Ivan_Herman]
application/lgr+xml	application/lgr+xml		application	media-type	application		[RFC7940]
application/link-format	application/link-format		application	media-type	application		[RFC6690]
application/linkset	application/linkset		application	media-type	application		[RFC9264]
application/linkset+json	application/linkset+json		application	media-type	application		[RFC9264]
application/load-control+xml	application/load-control+xml		application	media-type	application		[RFC7200]
application/logout+jwt	application/logout+jwt		application	media-type	application		[OpenID_Foundation_Artifact_Binding_WG]
application/lost+xml	application/lost+xml		application	media-type	application		[RFC5222]
application/lostsync+xml	application/lostsync+xml		application	media-type	application		[RFC6739]
application/lpf+zip	application/lpf+zip		application	media-type	application		[W3C][Ivan_Herman]
application/mac-binhex40	application/mac-binhex40		application	media-type	application		[Patrik_Faltstrom]
application/macwriteii	application/macwriteii		application	media-type	application		[Paul_Lindner]
application/mads+xml	application/mads+xml		application	media-type	application		[RFC6207]
application/manifest+json	application/manifest+json		application	media-type	application		[W3C][Marcos_Caceres]
application/marc	application/marc		application	media-type	application		[RFC2220]
application/marcxml+xml	application/marcxml+xml		application	media-type	application		[RFC6207]
application/mathematica	application/mathematica		application	media-type	application		[Wolfram]
application/mathml+xml	application/mathml+xml		application	media-type	application		[W3C][http://www.w3.org/TR/MathML3/appendixb.html]
