# The NIST Cybersecurity Framework 2.0 as a functional taxonomy: six functions, the
# categories under each of them and the subcategories under those, with the outcome NIST
# states each one as. This is not a vocabulary to match against identifiers — nobody writes
# GV.OC-01, and nobody writes Organizational Context either. It is a published partition of
# what a security function does, and the sentence defining each part is what a body of code
# can be compared against as a distribution rather than searched for as a term.
#
# Columns: concept, prefLabel, altLabel, broader, kind, module, definition, note.
# broader is empty for a function, the framework's own top level; module is the function a
# concept rolls up to; altLabel is the label NIST publishes beside a title wherever it
# publishes a different one, and empty where it publishes none. Concepts NIST states as
# withdrawn are not carried, which is what leaves 1.1's categories out.
#
# Source: NIST_CSF_v2.0_catalog.json at version 1.2.0, the OSCAL edition
#   NIST publishes of the Cybersecurity Framework 2.0, read from
#   https://raw.githubusercontent.com/usnistgov/oscal-content/78650f02ad9321bb7b817846f8fbd4f2bcd620de/nist.gov/CSF/v2.0/json/NIST_CSF_v2.0_catalog.json.
# Licence: public domain. The catalogue is a work of the United States government, and NIST
#   additionally waives copyright and related rights worldwide through CC0 1.0
#   (https://github.com/usnistgov/oscal-content/blob/main/LICENSE.md). The framework's own
#   words are quoted as NIST publishes them, and NIST states no endorsement of any use.
# Generated by NistCsfExtraction: 134 concepts.
RS	RESPOND	RESPOND (RS)		function	RS	Actions regarding a detected cybersecurity incident are taken	
RS.AN	Incident Analysis	Incident Analysis (RS.AN)	RS	category	RS	Investigations are conducted to ensure effective response and support forensics and recovery activities	
RS.AN-03	RS.AN-03		RS.AN	subcategory	RS	Analysis is performed to establish what has taken place during an incident and the root cause of the incident	
RS.AN-06	RS.AN-06		RS.AN	subcategory	RS	Actions performed during an investigation are recorded, and the records' integrity and provenance are preserved	
RS.AN-07	RS.AN-07		RS.AN	subcategory	RS	Incident data and metadata are collected, and their integrity and provenance are preserved	
RS.AN-08	RS.AN-08		RS.AN	subcategory	RS	An incident's magnitude is estimated and validated	
RS.CO	Incident Response Reporting and Communication	Incident Response Reporting and Communication (RS.CO)	RS	category	RS	Response activities are coordinated with internal and external stakeholders as required by laws, regulations, or policies	
RS.CO-02	RS.CO-02		RS.CO	subcategory	RS	Internal and external stakeholders are notified of incidents	
RS.CO-03	RS.CO-03		RS.CO	subcategory	RS	Information is shared with designated internal and external stakeholders	
RS.MA	Incident Management	Incident Management (RS.MA)	RS	category	RS	Responses to detected cybersecurity incidents are managed	
RS.MA-01	RS.MA-01		RS.MA	subcategory	RS	The incident response plan is executed in coordination with relevant third parties once an incident is declared	
RS.MA-02	RS.MA-02		RS.MA	subcategory	RS	Incident reports are triaged and validated	
RS.MA-03	RS.MA-03		RS.MA	subcategory	RS	Incidents are categorized and prioritized	
RS.MA-04	RS.MA-04		RS.MA	subcategory	RS	Incidents are escalated or elevated as needed	
RS.MA-05	RS.MA-05		RS.MA	subcategory	RS	The criteria for initiating incident recovery are applied	
RS.MI	Incident Mitigation	Incident Mitigation (RS.MI)	RS	category	RS	Activities are performed to prevent expansion of an event and mitigate its effects	
RS.MI-01	RS.MI-01		RS.MI	subcategory	RS	Incidents are contained	
RS.MI-02	RS.MI-02		RS.MI	subcategory	RS	Incidents are eradicated	
