# Name tokens from the Wikidata entity registry: every given-name and family-name item
# borne by at least five subjects, written as each of the registry's labels for it, with
# the token's dominant Unicode script and the item's bearer count as prominence. A row
# says the registry records people bearing the token as a name part — 王 is a family name
# written in Han script; Alexander, Александр and 亚历山大 are one given name written
# three ways. Whether a sampled value is made of such tokens is the caller's question,
# answered by votes this file does not cast.
#
# Name: Wikidata given and family names
# Publisher: Wikidata
# Kind: words
# Source: Wikidata, items referenced as a person's given name (P735) or family name
#   (P734) by at least five subjects, under every rdfs:label in every language; the
#   script is the majority Unicode script of the token's letters. Queried via the
#   QLever SPARQL endpoint (https://qlever.dev/api/wikidata).
# Licence: CC0 1.0 (https://creativecommons.org/publicdomain/zero/1.0/).
# Regenerate: ./gradlew :lexicon-extraction:extractWikidataNames
#
# token	script	kind	bearers
Abdul Matin	LATIN	given	7
Abdul Monem	LATIN	given	54
Abdul Nasser	LATIN	given	13
Abdul Násir	LATIN	given	13
Abdul Qadir	LATIN	given	233
Abdul Qahar	LATIN	given	6
Abdul Qayyum	LATIN	given	13
Abdul Rahman	LATIN	family	5
Abdul Rahman	LATIN	given	762
Abdul Rashid	LATIN	given	25
Abdul Razak	LATIN	given	102
Abdul Razzaq	LATIN	family	8
Abdul Razzaq	LATIN	given	102
Abdul Samad	LATIN	given	22
Abdul Sattar	LATIN	given	31
Abdul Shakoor	LATIN	given	5
Abdul Shakur	LATIN	given	5
Abdul Vahab	LATIN	given	86
Abdul Wahab	LATIN	given	86
Abdul Wahhab	LATIN	given	86
Abdul Wahid	LATIN	given	50
Abdul-Majid	LATIN	family	10
Abdul-Malik	LATIN	given	101
Abdul-Medzsid	LATIN	given	132
Abdul-Saheb	LATIN	given	5
Abdulah	LATIN	given	2059
Abdulai	LATIN	family	9
Abdulai	LATIN	given	8
Abdulajev	LATIN	family	17
Abdulajew	LATIN	family	17
Abdulatif	LATIN	given	217
Abdulayev	LATIN	family	17
Abdulaziz	LATIN	family	9
Abdulaziz	LATIN	given	315
Abdulbasit	LATIN	given	29
Abdulhadi	LATIN	given	41
Abdulhalim	LATIN	given	46
Abdulhamid	LATIN	family	6
Abdulhamid	LATIN	given	185
Abdulin	LATIN	family	6
Abdulkadir	LATIN	family	12
Abdulkadir	LATIN	given	93
Abdulkarim	LATIN	family	6
Abdulkarim	LATIN	given	12
Abdulla	LATIN	family	25
Abdulla	LATIN	given	2059
Abdullaev	LATIN	family	8
Abdullah	LATIN	family	117
Abdullah	LATIN	given	2059
Abdullahi	LATIN	family	38
Abdullahi	LATIN	given	81
Abdullahu	LATIN	family	6
Abdullajev	LATIN	family	7
Abdullajew	LATIN	family	7
Abdullatif	LATIN	family	6
Abdullayev	LATIN	family	180
Abdullayeva	LATIN	family	6
Abdullin	LATIN	family	28
Abdulmadschid	LATIN	given	132
Abdulov	LATIN	family	11
Abdulow	LATIN	family	11
Abdulqawi	LATIN	given	6
Abdulqodir	LATIN	given	233
Abdulrahman	LATIN	family	13
Abdulrahman	LATIN	given	22
Abdulsalam	LATIN	family	11
