# Wiktionary topic vocabulary, one row per headword: the word (multi-word phrases carry
# underscores, the written form the bundled WordNet resources use) and the union of topic
# labels across its senses, comma-separated. The dictionary saying which domains claim the
# word — membership is a vote's evidence, never a decision.
#
# Name: Wiktionary topic vocabulary
# Publisher: Wiktionary, through wiktextract at kaikki.org
# Kind: words
# Source: Wiktionary (https://en.wiktionary.org/), read from the wiktextract JSONL published
#   at kaikki.org (https://kaikki.org/dictionary/English/); Tatu Ylonen: "Wiktextract:
#   Wiktionary as Machine-Readable Structured Data", LREC 2022.
# Licence: this data file is derived from Wiktionary content and is distributed under
#   CC BY-SA (https://creativecommons.org/licenses/by-sa/4.0/). The licence attaches to
#   this file, not to the code that reads or produced it.
# Generated by WiktionaryExtraction: 185768 words.
-xaban	medicine,pharmacology,sciences
-ximab	medicine,pharmacology,sciences
-xizu-	medicine,pharmacology,sciences
-yl	chemistry,natural-sciences,organic-chemistry,physical-sciences
-ylene	chemistry,natural-sciences,organic-chemistry,physical-sciences
-ylidene	chemistry,natural-sciences,organic-chemistry,physical-sciences
-yne	chemistry,natural-sciences,organic-chemistry,physical-sciences
-z	urbanism
-zepine	medicine,pharmacology,sciences
-zoan	biology,natural-sciences,zoology
-zoite	biology,cytology,medicine,natural-sciences,sciences
-zolac	medicine,pharmacology,sciences
-zoon	biology,natural-sciences,zoology
-zumab	medicine,pharmacology,sciences
-zygous	anatomy,biology,genetics,medicine,natural-sciences,sciences
.22	engineering,firearms,government,military,natural-sciences,physical-sciences,politics,tools,war,weaponry
.38	engineering,firearms,government,military,natural-sciences,physical-sciences,politics,tools,war,weaponry
.45	engineering,firearms,government,military,natural-sciences,physical-sciences,politics,tools,war,weaponry
.500	hobbies,lifestyle,sports
.dat	computing,engineering,mathematics,natural-sciences,physical-sciences,sciences
.net	computing,engineering,mathematics,natural-sciences,physical-sciences,sciences
.ovl	computing,engineering,mathematics,natural-sciences,physical-sciences,sciences
/dev/null	computing,engineering,mathematics,natural-sciences,physical-sciences,sciences
/me	computing,engineering,mathematics,natural-sciences,physical-sciences,sciences
0-0	aeronautics,aerospace,aviation,business,engineering,natural-sciences,physical-sciences
0-100	automotive,transport,vehicles
0-60	automotive,transport,vehicles
0-60-0	automotive,transport,vehicles
0-dark-hundred	government,military,politics,war
0-dark-thirty	government,military,politics,war
0-day	computing,engineering,mathematics,natural-sciences,physical-sciences,sciences
007	ball-games,games,hobbies,lifestyle,soccer,sports
1,2-naphthoquinone	chemistry,natural-sciences,organic-chemistry,physical-sciences
1,4-naphthoquinone	chemistry,natural-sciences,organic-chemistry,physical-sciences
1,6-cleves_acid	chemistry,natural-sciences,organic-chemistry,physical-sciences
1,7-cleves_acid	chemistry,natural-sciences,organic-chemistry,physical-sciences
1-1-8	ball-games,games,hobbies,lifestyle,soccer,sports
1-2-3	hobbies,lifestyle,sports
