# Wiktionary abbreviation senses, one row per cited reading: the token, the expansion its
# entry names, the kind of shortening the sense declares (abbreviation, initialism, acronym,
# clipping or symbol), the sense's topic labels (comma-separated, often empty), and — for a
# unit symbol — the quantity the standard says the unit measures, blank for every other
# kind. A token with several cited expansions keeps one row each — this file cites usage,
# the reader votes.
#
# Source: Wiktionary (https://en.wiktionary.org/), read from the wiktextract JSONL published
#   at kaikki.org: the English extract (https://kaikki.org/dictionary/English/) and the
#   Translingual extract (https://kaikki.org/dictionary/Translingual/), which carries the
#   unit symbols; Tatu Ylonen: "Wiktextract: Wiktionary as Machine-Readable Structured
#   Data", LREC 2022.
# Licence: this data file is derived from Wiktionary content and is distributed under
#   CC BY-SA (https://creativecommons.org/licenses/by-sa/4.0/). The licence attaches to
#   this file, not to the code that reads or produced it.
# Generated by WiktionaryAbbreviationExtraction: 45633 senses.
2slgbt	two-spirit(ed)	abbreviation		
2slgbt+	and transgender	abbreviation		
2slgbt+	bisexual	abbreviation		
2slgbt+	gay	abbreviation		
2slgbt+	lesbian	abbreviation		
2slgbt+	two-spirit(ed)	abbreviation		
2slgbtiq	and queer	abbreviation		
2slgbtiq	bisexual	abbreviation		
2slgbtiq	gay	abbreviation		
2slgbtiq	intersex	abbreviation		
2slgbtiq	lesbian	abbreviation		
2slgbtiq	transgender	abbreviation		
2slgbtiq	two-spirit(ed)	abbreviation		
2slgbtiq+	and queer	abbreviation		
2slgbtiq+	bisexual	abbreviation		
2slgbtiq+	gay	abbreviation		
2slgbtiq+	intersex	abbreviation		
2slgbtiq+	lesbian	abbreviation		
2slgbtiq+	transgender	abbreviation		
2slgbtiq+	two-spirit(ed)	abbreviation		
2slgbtq	and queer	abbreviation		
2slgbtq	bisexual	abbreviation		
2slgbtq	gay	abbreviation		
2slgbtq	lesbian	abbreviation		
2slgbtq	transgender	abbreviation		
2slgbtq	two-spirit(ed)	abbreviation		
2slgbtq+	bisexual	abbreviation		
2slgbtq+	etc	abbreviation		
2slgbtq+	gay	abbreviation		
2slgbtq+	lesbian	abbreviation		
2slgbtq+	queer/questioning	abbreviation		
2slgbtq+	transgender/transsexual	abbreviation		
2slgbtq+	two-spirit	abbreviation		
2slgbtqi+	and intersex	abbreviation		
2slgbtqi+	bisexual	abbreviation		
2slgbtqi+	gay	abbreviation		
2slgbtqi+	lesbian	abbreviation		
2slgbtqi+	queer	abbreviation		
2slgbtqi+	transgender	abbreviation		
2slgbtqi+	two-spirit(ed)	abbreviation		
2slgbtqia+	and other gender identities and sexual orientations	abbreviation		
2slgbtqia+	asexual/agender	abbreviation		
2slgbtqia+	bisexual	abbreviation		
2slgbtqia+	gay	abbreviation		
2slgbtqia+	intersex	abbreviation		
2slgbtqia+	lesbian	abbreviation		
2slgbtqia+	queer/questioning	abbreviation		
2slgbtqia+	transgender	abbreviation		
2slgbtqia+	two-spirit	abbreviation		
2slgbtqq+	and questioning	abbreviation		
2slgbtqq+	bisexual	abbreviation		
2slgbtqq+	gay	abbreviation		
2slgbtqq+	lesbian	abbreviation		
2slgbtqq+	queer	abbreviation		
2slgbtqq+	transgender	abbreviation		
2slgbtqq+	two-spirit(ed)	abbreviation		
2slgbtqqia+	asexual plus	abbreviation		
2slgbtqqia+	bisexual	abbreviation		
2slgbtqqia+	gay	abbreviation		
2slgbtqqia+	intersex	abbreviation		
2slgbtqqia+	lesbian	abbreviation		
2slgbtqqia+	queer	abbreviation		
2slgbtqqia+	questioning	abbreviation		
2slgbtqqia+	transgender	abbreviation		
2slgbtqqia+	two-spirit	abbreviation		
2sls	two-stage least squares	abbreviation	mathematics,sciences,statistics	
2smmiwg	two-spirit(ed) and missing and murdered indigenous women and girls	abbreviation		
2wd	two-wheel drive	abbreviation		
2ww	between ovulation and the expected period	abbreviation		
2ww	to determine whether one is pregnant	abbreviation		
2ww	two-week wait	abbreviation		
2ᵈˡʸ	secondly obsolete form of 2ndly	abbreviation		
3	360	abbreviation	hobbies,lifestyle,skateboarding,skiing,snowboarding,sports	
3-d	three-dimensional	abbreviation		
3-mbt	3-methylbutenethiol	abbreviation		
30th	thirtieth	abbreviation		
31st	thirty-first	abbreviation		
32mo	thirty-twomo	abbreviation		
32nd	thirty-second	abbreviation		
32º	book and paper size	abbreviation	media,printing,publishing	
32º	englishtrigesimo-secundo	abbreviation	media,printing,publishing	
33rd	thirty-third	abbreviation		
34th	thirty-fourth	abbreviation		
35th	thirty-fifth	abbreviation		
36th	thirty-sixth	abbreviation		
37th	thirty-seventh	abbreviation		
38th	thirty-eighth	abbreviation		
39th	thirty-ninth	abbreviation		
3d	three-dimensional	abbreviation		
3des	triple des	abbreviation	computing,cryptography,engineering,mathematics,natural-sciences,physical-sciences,sciences	
3dly	thirdly obsolete form of 3rdly	abbreviation		
3dml	3d markup language	abbreviation		
3dr	3d realms	abbreviation		
3ds	nintendo 3ds	abbreviation	video-games	
3dtds	three-dimensional topological dirac semi-metal	abbreviation		
3ftx	three-finger toxin	abbreviation	biochemistry,biology,chemistry,microbiology,natural-sciences,physical-sciences	
3g	3rd generation	abbreviation	communications,electrical-engineering,engineering,mobile-telephony,natural-sciences,physical-sciences,telecommunications,telephony	
3g	3rd-generation leadership	abbreviation		
3gl	third-generation language	abbreviation	computing,engineering,mathematics,natural-sciences,physical-sciences,programming,sciences	
3gpp	third generation partnership project	abbreviation	business,electrical-engineering,electricity,electromagnetism,electronics,energy,engineering,natural-sciences,physical-sciences,physics	
3l	three l	abbreviation		
3lod	three lines of defence	abbreviation	business,finance	
3nf	third normal form	abbreviation		
3ot	third overtime period	abbreviation	hobbies,lifestyle,sports	
3p	third party	abbreviation		
3p	third-party	abbreviation		
3pl	third-party logistics	abbreviation		
3pp	third-person plural	abbreviation	grammar,human-sciences,linguistics,sciences	
3qt	three-quarter time	abbreviation	hobbies,lifestyle,sports	
3r	race	abbreviation	government,politics	
3r	recycle	abbreviation		
3r	reduce	abbreviation		
3r	religion	abbreviation	government,politics	
3r	reuse	abbreviation		
3r	royalty	abbreviation	government,politics	
3rd	third	abbreviation		
3rdly	thirdly	abbreviation		
3rr	three-revert rule	abbreviation		
3some	threesome	abbreviation		
3sum	threesome	abbreviation		
3tg	four common conflict minerals	abbreviation		
3tg	gold	abbreviation		
3tg	tantalum	abbreviation		
3tg	tin	abbreviation		
3tg	tungsten	abbreviation		
3x3	3x3x3	abbreviation		
3ᵈˡʸ	thirdly	abbreviation		
4	for	abbreviation		
4-fa	4-fluoroamphetamine	abbreviation		
40th	fortieth	abbreviation		
41st	forty-first	abbreviation		
42nd	forty-second	abbreviation		
43rd	forty-third	abbreviation		
44th	forty-fourth	abbreviation		
45th	forty-fifth	abbreviation		
46th	forty-sixth	abbreviation		
47th	forty-seventh	abbreviation		
48th	forty-eighth	abbreviation		
48º	quadragesimo-octavo	abbreviation		
48º	quadragesimo-octavo	abbreviation	media,printing,publishing	
49th	forty-ninth	abbreviation		
4bbb	fourball better ball	abbreviation	golf,hobbies,lifestyle,sports	
4g	4th generation	abbreviation	communications,electrical-engineering,engineering,mobile-telephony,natural-sciences,physical-sciences,telecommunications,telephony	
4g	4th-generation leadership	abbreviation		
4give	forgive	abbreviation		
4gl	characterized by having its own operating environment	abbreviation	computing,engineering,mathematics,natural-sciences,physical-sciences,programming,sciences	
4gl	fourth-generation language	abbreviation	computing,engineering,mathematics,natural-sciences,physical-sciences,programming,sciences	
4ir	fourth industrial revolution	abbreviation		
4nf	fourth normal form	abbreviation		
4pl	fourth-party logistics	abbreviation		
4ps	pantawid pamilyang pilipino program	abbreviation		
4real	for real	abbreviation		
4rum	forum	abbreviation		
4th	fourth	abbreviation		
