# eXtended WordNet Domains, reduced to one domain per synset and keyed by sense key: for
# each WordNet 3.0 synset, the domain whose propagation vector weighs it highest, carried
# onto every sense key the synset holds. The maximum is the reduction the resource's own
# evaluation uses and the one-domain-per-synset shape its successors publish; a tie breaks
# on the domain's name, so two runs write identical bytes.
#
# Columns: senseKey, domain, weight.
#   senseKey  WordNet's own version-stable sense identifier, from WordNet 3.0's index.sense.
#             It is what lets these labels join the bundled WordNet 3.1 database: the 3.0
#             synset offsets the distribution is keyed by survive in almost no case, and the
#             sense keys survive in almost every one.
#   domain    the leading domain of the synset across all 170 propagation vectors.
#   weight    that domain's propagation weight for the synset. Each domain's vector sums to
#             one over the 117,536 synsets, so weights compare across domains.
#
# Source: https://adimen.ehu.eus/web/files/XWND/xwnd-30g.tgz, accepted only at
#   sha256 bf7e85e57db36771a926649d4cfddad579e87c3f925cc3ab68465a0304555aac;
#   joined through index.sense of https://repo1.maven.org/maven2/net/sf/extjwnl/extjwnl-data-wn30/1.2/extjwnl-data-wn30-1.2.jar,
#   accepted only at sha256 67ce20a24eeb03ccb604327761e4c7958fc761016f6833384493b7479fb3ad70.
#   Gonzalez-Agirre, A., Castillo, M. and Rigau, G.: A proposal for improving WordNet
#   Domains. LREC 2012. https://adimen.ehu.eus/web/XWND
# Licence: Creative Commons Attribution 3.0 Unported (CC BY 3.0). Attribution: eXtended
#   WordNet Domains, IXA group, University of the Basque Country (UPV/EHU). WordNet 3.0
#   index.sense under the WordNet licence, Princeton University.
#
# Generated by XwndDomainsExtraction: 206761 rows.
49th%5:00:00:ordinal:00	number	1.393070e-04
4th%5:00:00:ordinal:00	number	7.970710e-04
4to%1:07:00::	publishing	1.109620e-04
4wd%1:06:00::	mechanics	4.236150e-04
4wd%1:06:01::	transport	1.817810e-04
5%1:23:00::	number	1.000930e-03
5%5:00:00:cardinal:00	number	8.434220e-04
5-hitter%1:04:00::	baseball	4.350460e-04
5-hydroxy-3-methylglutaryl-coenzyme_a_reductase%1:27:00::	chemistry	8.908580e-05
5-hydroxytryptamine%1:27:00::	pharmacy	1.700840e-04
5-membered%5:00:00:membered:00	engineering	2.957420e-05
50%1:23:00::	number	1.837110e-03
50%5:00:00:cardinal:00	number	1.233760e-03
500%1:23:00::	number	1.312790e-03
500%5:00:00:cardinal:00	number	9.053160e-04
500th%5:00:00:ordinal:00	number	1.672280e-04
50th%5:00:00:ordinal:00	number	1.034070e-03
51%5:00:00:cardinal:00	number	2.959770e-04
52%5:00:00:cardinal:00	number	2.959770e-04
53%5:00:00:cardinal:00	number	2.959770e-04
54%5:00:00:cardinal:00	number	2.959770e-04
55%5:00:00:cardinal:00	number	2.959770e-04
55th%5:00:00:ordinal:00	number	1.384090e-04
56%5:00:00:cardinal:00	number	2.959770e-04
57%5:00:00:cardinal:00	number	2.959770e-04
58%5:00:00:cardinal:00	number	2.959770e-04
59%5:00:00:cardinal:00	number	2.959770e-04
5th%5:00:00:ordinal:00	number	9.259470e-04
6%1:23:00::	number	1.000930e-03
6%5:00:00:cardinal:00	number	9.053160e-04
6-membered%5:00:00:membered:00	chemistry	3.814130e-05
60%1:23:00::	number	1.312790e-03
60%5:00:00:cardinal:00	number	8.434220e-04
60_minutes%1:28:00::	animal_husbandry	3.135870e-04
60th%5:00:00:ordinal:00	number	8.259730e-04
61%5:00:00:cardinal:00	number	2.959770e-04
62%5:00:00:cardinal:00	number	2.959770e-04
63%5:00:00:cardinal:00	number	2.959770e-04
64%5:00:00:cardinal:00	number	2.959770e-04
64th%5:00:00:ordinal:00	number	1.384090e-04
65%5:00:00:cardinal:00	number	2.959770e-04
65th%5:00:00:ordinal:00	number	1.384090e-04
66%5:00:00:cardinal:00	number	2.959770e-04
